age,female,"bs(age, df=5, degree=2, include_intercept=False)[0]","bs(age, df=5, degree=2, include_intercept=False)[1]","bs(age, df=5, degree=2, include_intercept=False)[2]","bs(age, df=5, degree=2, include_intercept=False)[3]","bs(age, df=5, degree=2, include_intercept=False)[4]","bs(age, df=5, degree=2, include_intercept=False)[0]:female","bs(age, df=5, degree=2, include_intercept=False)[1]:female","bs(age, df=5, degree=2, include_intercept=False)[2]:female","bs(age, df=5, degree=2, include_intercept=False)[3]:female","bs(age, df=5, degree=2, include_intercept=False)[4]:female"
43.333,1,0.003631082062454199,0.5896022897176254,0.40676662821992043,0.0,0.0,0.003631082062454199,0.5896022897176254,0.40676662821992043,0.0,0.0
43.417,0,0.0032770515613648843,0.5855229292152543,0.4112000192233808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.417,1,0.0032770515613648843,0.5855229292152543,0.4112000192233808,0.0,0.0,0.0032770515613648843,0.5855229292152543,0.4112000192233808,0.0,0.0
43.5,0,0.002941176470587845,0.5814013840830401,0.4156574394463721,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.5,1,0.002941176470587845,0.5814013840830401,0.4156574394463721,0.0,0.0,0.002941176470587845,0.5814013840830401,0.4156574394463721,0.0,0.0
43.583,0,0.0026234567901230795,0.5772376543209825,0.42013888888889434,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.583,1,0.0026234567901230795,0.5772376543209825,0.42013888888889434,0.0,0.0,0.0026234567901230795,0.5772376543209825,0.42013888888889434,0.0,0.0
43.667,0,0.002323892519970588,0.5730317399290819,0.42464436755094764,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.667,1,0.002323892519970588,0.5730317399290819,0.42464436755094764,0.0,0.0,0.002323892519970588,0.5730317399290819,0.42464436755094764,0.0,0.0
43.75,0,0.0020424836601303704,0.5687836409073379,0.42917387543253177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.75,1,0.0020424836601303704,0.5687836409073379,0.42917387543253177,0.0,0.0,0.0020424836601303704,0.5687836409073379,0.42917387543253177,0.0,0.0
43.833,0,0.0017792302106024273,0.5644933572557507,0.4337274125336469,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.833,1,0.0017792302106024273,0.5644933572557507,0.4337274125336469,0.0,0.0,0.0017792302106024273,0.5644933572557507,0.4337274125336469,0.0,0.0
43.917,0,0.001534132171386758,0.5601608889743203,0.4383049788542929,0.0,0.0,0.0,0.0,0.0,0.0,0.0
