age,female,"bs(age, df=6, degree=3, include_intercept=False)[0]","bs(age, df=6, degree=3, include_intercept=False)[1]","bs(age, df=6, degree=3, include_intercept=False)[2]","bs(age, df=6, degree=3, include_intercept=False)[3]","bs(age, df=6, degree=3, include_intercept=False)[4]","bs(age, df=6, degree=3, include_intercept=False)[5]","bs(age, df=6, degree=3, include_intercept=False)[0]:female","bs(age, df=6, degree=3, include_intercept=False)[1]:female","bs(age, df=6, degree=3, include_intercept=False)[2]:female","bs(age, df=6, degree=3, include_intercept=False)[3]:female","bs(age, df=6, degree=3, include_intercept=False)[4]:female","bs(age, df=6, degree=3, include_intercept=False)[5]:female"
42.5,1,0.0004538852578067877,0.20525599989802443,0.726669118481822,0.06762099636234685,0.0,0.0,0.0004538852578067877,0.20525599989802443,0.726669118481822,0.06762099636234685,0.0,0.0
42.583,0,0.0004099928723203586,0.20277468866099543,0.728021729565143,0.0687935889015412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.583,1,0.0004099928723203586,0.20277468866099543,0.728021729565143,0.0687935889015412,0.0,0.0,0.0004099928723203586,0.20277468866099543,0.728021729565143,0.0687935889015412,0.0,0.0
42.667,0,0.00036902552516201786,0.2003052854764402,0.7293460296300407,0.06997965936835711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.667,1,0.00036902552516201786,0.2003052854764402,0.7293460296300407,0.06997965936835711,0.0,0.0,0.00036902552516201786,0.2003052854764402,0.7293460296300407,0.06997965936835711,0.0,0.0
42.75,0,0.000330882352941142,0.19784806130706323,0.7306417715604718,0.07117928477952379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.75,1,0.000330882352941142,0.19784806130706323,0.7306417715604718,0.07117928477952379,0.0,0.0,0.000330882352941142,0.19784806130706323,0.7306417715604718,0.07117928477952379,0.0,0.0
42.833,0,0.00029546249226710715,0.195403287115569,0.7319087082403932,0.07239254215177056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.833,1,0.00029546249226710715,0.195403287115569,0.7319087082403932,0.07239254215177056,0.0,0.0,0.00029546249226710715,0.195403287115569,0.7319087082403932,0.07239254215177056,0.0,0.0
42.917,0,0.0002626650797492895,0.19297123386466214,0.7331465925537619,0.07361950850182662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.917,1,0.0002626650797492895,0.19297123386466214,0.7331465925537619,0.07361950850182662,0.0,0.0,0.0002626650797492895,0.19297123386466214,0.7331465925537619,0.07361950850182662,0.0,0.0
43.0,0,0.0002323892519970654,0.1905521725170471,0.7343551773845346,0.07486026084642129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,1,0.0002323892519970654,0.1905521725170471,0.7343551773845346,0.07486026084642129,0.0,0.0,0.0002323892519970654,0.1905521725170471,0.7343551773845346,0.07486026084642129,0.0,0.0
43.083,0,0.0002045341456198111,0.18814637403542833,0.7355342156166681,0.07611487620228381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.083,1,0.0002045341456198111,0.18814637403542833,0.7355342156166681,0.07611487620228381,0.0,0.0,0.0002045341456198111,0.18814637403542833,0.7355342156166681,0.07611487620228381,0.0,0.0
43.167,0,0.0001789988972269028,0.18575410938251036,0.7366834601341193,0.07738343158614347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.167,1,0.0001789988972269028,0.18575410938251036,0.7366834601341193,0.07738343158614347,0.0,0.0,0.0001789988972269028,0.18575410938251036,0.7366834601341193,0.07738343158614347,0.0,0.0
43.25,0,0.00015568264342771682,0.18337564952099766,0.737802663820845,0.0786660040147295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.25,1,0.00015568264342771682,0.18337564952099766,0.737802663820845,0.0786660040147295,0.0,0.0,0.00015568264342771682,0.18337564952099766,0.737802663820845,0.0786660040147295,0.0,0.0
43.333,0,0.00013448452083162935,0.1810112654135949,0.7388915795608024,0.07996267050477118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.333,1,0.00013448452083162935,0.1810112654135949,0.7388915795608024,0.07996267050477118,0.0,0.0,0.00013448452083162935,0.1810112654135949,0.7388915795608024,0.07996267050477118,0.0,0.0
43.417,0,0.00011530366604801663,0.1786612280230064,0.7399499602379478,0.08127350807299778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.417,1,0.00011530366604801663,0.1786612280230064,0.7399499602379478,0.08127350807299778,0.0,0.0,0.00011530366604801663,0.1786612280230064,0.7399499602379478,0.08127350807299778,0.0,0.0
43.5,0,9.803921568625499e-05,0.1763258083119368,0.7409775587362384,0.08259859373613858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.5,1,9.803921568625499e-05,0.1763258083119368,0.7409775587362384,0.08259859373613858,0.0,0.0,9.803921568625499e-05,0.1763258083119368,0.7409775587362384,0.08259859373613858,0.0,0.0
43.583,0,8.259030635572064e-05,0.1740052772430905,0.7419741279396308,0.08393800451092281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.583,1,8.259030635572064e-05,0.1740052772430905,0.7419741279396308,0.08393800451092281,0.0,0.0,8.259030635572064e-05,0.1740052772430905,0.7419741279396308,0.08393800451092281,0.0,0.0
43.667,0,6.885607466578982e-05,0.17169990577917213,0.7429394207320824,0.0852918174140798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.667,1,6.885607466578982e-05,0.17169990577917213,0.7429394207320824,0.0852918174140798,0.0,0.0,6.885607466578982e-05,0.17169990577917213,0.7429394207320824,0.0852918174140798,0.0,0.0
43.75,0,5.6735657225838786e-05,0.16940996488288607,0.7438731899975495,0.08666010946233874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.75,1,5.6735657225838786e-05,0.16940996488288607,0.7438731899975495,0.08666010946233874,0.0,0.0,5.6735657225838786e-05,0.16940996488288607,0.7438731899975495,0.08666010946233874,0.0,0.0
43.833,0,4.612819064524381e-05,0.16713572551693692,0.7447751886199889,0.08804295767242894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.833,1,4.612819064524381e-05,0.16713572551693692,0.7447751886199889,0.08804295767242894,0.0,0.0,4.612819064524381e-05,0.16713572551693692,0.7447751886199889,0.08804295767242894,0.0,0.0
