age,female,"bs(age, df=6, degree=1, include_intercept=False)[0]","bs(age, df=6, degree=1, include_intercept=False)[1]","bs(age, df=6, degree=1, include_intercept=False)[2]","bs(age, df=6, degree=1, include_intercept=False)[3]","bs(age, df=6, degree=1, include_intercept=False)[4]","bs(age, df=6, degree=1, include_intercept=False)[5]","bs(age, df=6, degree=1, include_intercept=False)[0]:female","bs(age, df=6, degree=1, include_intercept=False)[1]:female","bs(age, df=6, degree=1, include_intercept=False)[2]:female","bs(age, df=6, degree=1, include_intercept=False)[3]:female","bs(age, df=6, degree=1, include_intercept=False)[4]:female","bs(age, df=6, degree=1, include_intercept=False)[5]:female"
43.167,0,0.0,0.1666666666666585,0.8333333333333416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.167,1,0.0,0.1666666666666585,0.8333333333333416,0.0,0.0,0.0,0.0,0.1666666666666585,0.8333333333333416,0.0,0.0,0.0
43.25,0,0.0,0.1590909090909007,0.8409090909090994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.25,1,0.0,0.1590909090909007,0.8409090909090994,0.0,0.0,0.0,0.0,0.1590909090909007,0.8409090909090994,0.0,0.0,0.0
43.333,0,0.0,0.15151515151514292,0.8484848484848572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.333,1,0.0,0.15151515151514292,0.8484848484848572,0.0,0.0,0.0,0.0,0.15151515151514292,0.8484848484848572,0.0,0.0,0.0
43.417,0,0.0,0.14393939393938512,0.856060606060615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.417,1,0.0,0.14393939393938512,0.856060606060615,0.0,0.0,0.0,0.0,0.14393939393938512,0.856060606060615,0.0,0.0,0.0
43.5,0,0.0,0.13636363636362733,0.8636363636363728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.5,1,0.0,0.13636363636362733,0.8636363636363728,0.0,0.0,0.0,0.0,0.13636363636362733,0.8636363636363728,0.0,0.0,0.0
43.583,0,0.0,0.12878787878786954,0.8712121212121305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.583,1,0.0,0.12878787878786954,0.8712121212121305,0.0,0.0,0.0,0.0,0.12878787878786954,0.8712121212121305,0.0,0.0,0.0
43.667,0,0.0,0.12121212121211174,0.8787878787878883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.667,1,0.0,0.12121212121211174,0.8787878787878883,0.0,0.0,0.0,0.0,0.12121212121211174,0.8787878787878883,0.0,0.0,0.0
43.75,0,0.0,0.11363636363635395,0.8863636363636461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.75,1,0.0,0.11363636363635395,0.8863636363636461,0.0,0.0,0.0,0.0,0.11363636363635395,0.8863636363636461,0.0,0.0,0.0
43.833,0,0.0,0.10606060606059615,0.8939393939394039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.833,1,0.0,0.10606060606059615,0.8939393939394039,0.0,0.0,0.0,0.0,0.10606060606059615,0.8939393939394039,0.0,0.0,0.0
43.917,0,0.0,0.09848484848483836,0.9015151515151617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.917,1,0.0,0.09848484848483836,0.9015151515151617,0.0,0.0,0.0,0.0,0.09848484848483836,0.9015151515151617,0.0,0.0,0.0
44.0,0,0.0,0.09090909090908057,0.9090909090909195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.0,1,0.0,0.09090909090908057,0.9090909090909195,0.0,0.0,0.0,0.0,0.09090909090908057,0.9090909090909195,0.0,0.0,0.0
44.083,0,0.0,0.08333333333332278,0.9166666666666773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.083,1,0.0,0.08333333333332278,0.9166666666666773,0.0,0.0,0.0,0.0,0.08333333333332278,0.9166666666666773,0.0,0.0,0.0
44.167,0,0.0,0.07575757575756499,0.9242424242424351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.167,1,0.0,0.07575757575756499,0.9242424242424351,0.0,0.0,0.0,0.0,0.07575757575756499,0.9242424242424351,0.0,0.0,0.0
44.25,0,0.0,0.0681818181818072,0.9318181818181929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.25,1,0.0,0.0681818181818072,0.9318181818181929,0.0,0.0,0.0,0.0,0.0681818181818072,0.9318181818181929,0.0,0.0,0.0
44.333,0,0.0,0.06060606060604941,0.9393939393939507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.333,1,0.0,0.06060606060604941,0.9393939393939507,0.0,0.0,0.0,0.0,0.06060606060604941,0.9393939393939507,0.0,0.0,0.0
44.417,0,0.0,0.05303030303029162,0.9469696969697085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.417,1,0.0,0.05303030303029162,0.9469696969697085,0.0,0.0,0.0,0.0,0.05303030303029162,0.9469696969697085,0.0,0.0,0.0
44.5,0,0.0,0.045454545454533826,0.9545454545454662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.5,1,0.0,0.045454545454533826,0.9545454545454662,0.0,0.0,0.0,0.0,0.045454545454533826,0.9545454545454662,0.0,0.0,0.0
44.583,0,0.0,0.037878787878776035,0.962121212121224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.583,1,0.0,0.037878787878776035,0.962121212121224,0.0,0.0,0.0,0.0,0.037878787878776035,0.962121212121224,0.0,0.0,0.0
44.667,0,0.0,0.030303030303018248,0.9696969696969818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.667,1,0.0,0.030303030303018248,0.9696969696969818,0.0,0.0,0.0,0.0,0.030303030303018248,0.9696969696969818,0.0,0.0,0.0
44.75,0,0.0,0.022727272727260456,0.9772727272727396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.75,1,0.0,0.022727272727260456,0.9772727272727396,0.0,0.0,0.0,0.0,0.022727272727260456,0.9772727272727396,0.0,0.0,0.0
44.833,0,0.0,0.015151515151502664,0.9848484848484974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.833,1,0.0,0.015151515151502664,0.9848484848484974,0.0,0.0,0.0,0.0,0.015151515151502664,0.9848484848484974,0.0,0.0,0.0
44.917,0,0.0,0.007575757575744873,0.9924242424242552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.917,1,0.0,0.007575757575744873,0.9924242424242552,0.0,0.0,0.0,0.0,0.007575757575744873,0.9924242424242552,0.0,0.0,0.0
45.0,0,0.0,0.0,0.9999999999999871,1.2918958832001823e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,1,0.0,0.0,0.9999999999999871,1.2918958832001823e-14,0.0,0.0,0.0,0.0,0.9999999999999871,1.2918958832001823e-14,0.0,0.0
45.083,0,0.0,0.0,0.9924242424242293,0.00757575757577071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.083,1,0.0,0.0,0.9924242424242293,0.00757575757577071,0.0,0.0,0.0,0.0,0.9924242424242293,0.00757575757577071,0.0,0.0
45.167,0,0.0,0.0,0.9848484848484715,0.015151515151528502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.167,1,0.0,0.0,0.9848484848484715,0.015151515151528502,0.0,0.0,0.0,0.0,0.9848484848484715,0.015151515151528502,0.0,0.0
45.25,0,0.0,0.0,0.9772727272727137,0.022727272727286293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.25,1,0.0,0.0,0.9772727272727137,0.022727272727286293,0.0,0.0,0.0,0.0,0.9772727272727137,0.022727272727286293,0.0,0.0
45.333,0,0.0,0.0,0.969696969696956,0.030303030303044085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.333,1,0.0,0.0,0.969696969696956,0.030303030303044085,0.0,0.0,0.0,0.0,0.969696969696956,0.030303030303044085,0.0,0.0
45.417,0,0.0,0.0,0.9621212121211982,0.037878787878801876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.417,1,0.0,0.0,0.9621212121211982,0.037878787878801876,0.0,0.0,0.0,0.0,0.9621212121211982,0.037878787878801876,0.0,0.0
45.5,0,0.0,0.0,0.9545454545454404,0.04545454545455967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.5,1,0.0,0.0,0.9545454545454404,0.04545454545455967,0.0,0.0,0.0,0.0,0.9545454545454404,0.04545454545455967,0.0,0.0
45.583,0,0.0,0.0,0.9469696969696826,0.05303030303031746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.583,1,0.0,0.0,0.9469696969696826,0.05303030303031746,0.0,0.0,0.0,0.0,0.9469696969696826,0.05303030303031746,0.0,0.0
45.667,0,0.0,0.0,0.9393939393939248,0.06060606060607525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.667,1,0.0,0.0,0.9393939393939248,0.06060606060607525,0.0,0.0,0.0,0.0,0.9393939393939248,0.06060606060607525,0.0,0.0
45.75,0,0.0,0.0,0.931818181818167,0.06818181818183304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.75,1,0.0,0.0,0.931818181818167,0.06818181818183304,0.0,0.0,0.0,0.0,0.931818181818167,0.06818181818183304,0.0,0.0
45.833,0,0.0,0.0,0.9242424242424092,0.07575757575759083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.833,1,0.0,0.0,0.9242424242424092,0.07575757575759083,0.0,0.0,0.0,0.0,0.9242424242424092,0.07575757575759083,0.0,0.0
45.917,0,0.0,0.0,0.9166666666666514,0.08333333333334862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.917,1,0.0,0.0,0.9166666666666514,0.08333333333334862,0.0,0.0,0.0,0.0,0.9166666666666514,0.08333333333334862,0.0,0.0
46.0,0,0.0,0.0,0.9090909090908936,0.09090909090910641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.0,1,0.0,0.0,0.9090909090908936,0.09090909090910641,0.0,0.0,0.0,0.0,0.9090909090908936,0.09090909090910641,0.0,0.0
46.083,0,0.0,0.0,0.9015151515151358,0.0984848484848642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.083,1,0.0,0.0,0.9015151515151358,0.0984848484848642,0.0,0.0,0.0,0.0,0.9015151515151358,0.0984848484848642,0.0,0.0
46.167,0,0.0,0.0,0.893939393939378,0.106060606060622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.167,1,0.0,0.0,0.893939393939378,0.106060606060622,0.0,0.0,0.0,0.0,0.893939393939378,0.106060606060622,0.0,0.0
46.25,0,0.0,0.0,0.8863636363636203,0.11363636363637979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.25,1,0.0,0.0,0.8863636363636203,0.11363636363637979,0.0,0.0,0.0,0.0,0.8863636363636203,0.11363636363637979,0.0,0.0
46.333,0,0.0,0.0,0.8787878787878625,0.12121212121213758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.333,1,0.0,0.0,0.8787878787878625,0.12121212121213758,0.0,0.0,0.0,0.0,0.8787878787878625,0.12121212121213758,0.0,0.0
46.417,0,0.0,0.0,0.8712121212121047,0.12878787878789538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.417,1,0.0,0.0,0.8712121212121047,0.12878787878789538,0.0,0.0,0.0,0.0,0.8712121212121047,0.12878787878789538,0.0,0.0
46.5,0,0.0,0.0,0.8636363636363469,0.13636363636365317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.5,1,0.0,0.0,0.8636363636363469,0.13636363636365317,0.0,0.0,0.0,0.0,0.8636363636363469,0.13636363636365317,0.0,0.0
46.583,0,0.0,0.0,0.8560606060605891,0.14393939393941096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.583,1,0.0,0.0,0.8560606060605891,0.14393939393941096,0.0,0.0,0.0,0.0,0.8560606060605891,0.14393939393941096,0.0,0.0
46.667,0,0.0,0.0,0.8484848484848313,0.15151515151516876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.667,1,0.0,0.0,0.8484848484848313,0.15151515151516876,0.0,0.0,0.0,0.0,0.8484848484848313,0.15151515151516876,0.0,0.0
46.75,0,0.0,0.0,0.8409090909090735,0.15909090909092655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.75,1,0.0,0.0,0.8409090909090735,0.15909090909092655,0.0,0.0,0.0,0.0,0.8409090909090735,0.15909090909092655,0.0,0.0
46.833,0,0.0,0.0,0.8333333333333157,0.16666666666668434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
