age,Normal,Elevated,Stage 1,Stage 2,Normal 2.5%,Normal 97.5%,Elevated 2.5%,Elevated 97.5%,Stage 1 2.5%,Stage 1 97.5%,Stage 2 2.5%,Stage 2 97.5%
65,0.24322830292979547,0.1909894969596462,0.34894969596462133,0.216832504145937,0.23623836515629584,0.2502182407032951,0.1845852858968276,0.1973937080224648,0.3411841409773472,0.3567152509518955,0.21011862786594573,0.22354638042592825
66,0.23984936665525505,0.19746662102019857,0.3372817528243752,0.22540225950017118,0.2329244200486087,0.2467743132619014,0.19101043983205185,0.2039228022083453,0.32961417491070244,0.344949330738048,0.21862561730076527,0.23217890169957708
67,0.24331995015921362,0.19548663990031842,0.3369098712446352,0.22428353869583276,0.23632283072352955,0.2503170695948977,0.18901969058804854,0.2019535892125883,0.32920230200218753,0.3446174404870828,0.21748172880379987,0.23108534858786564
68,0.23924550808916722,0.19868784015507343,0.3296056065011556,0.23246104525460373,0.23202563958764208,0.24646537659069237,0.19193523058845063,0.20544044972169623,0.3216504704642577,0.3375607425380535,0.22531261910165387,0.2396094714075536
69,0.24161922833649588,0.1971853257432005,0.3293010752688172,0.2318943706514864,0.23415909541476004,0.2490793612582317,0.19025135332591853,0.20411929816048247,0.32111081803467884,0.33749133250295554,0.22453920023542573,0.2392495410675471
70,0.24314472703172893,0.2020545108110347,0.32955016154419686,0.2252506006130395,0.23549201600339553,0.2507974380600623,0.1948914711922337,0.2092175504298357,0.3211648273537898,0.3379354957346039,0.21779830508379522,0.2327028961422838
71,0.24610378489467374,0.20551464291830793,0.3201746874464806,0.22820688474053777,0.23829148721130414,0.2539160825780433,0.19818592190284548,0.21284336393377037,0.31171301873060353,0.32863635616235765,0.2205952370789218,0.23581853240215372
72,0.23999272197962154,0.20496724890829696,0.3297852983988355,0.225254730713246,0.23200877503084266,0.24797666892840042,0.19742076801193248,0.21251372980466143,0.32099644233923047,0.3385741544584406,0.217445178047978,0.233064283378514
73,0.22800445479396578,0.2221322263845297,0.31436671053963755,0.23549660828186697,0.2197304717325867,0.23627843785534486,0.21393448452541713,0.23032996824364227,0.3052108369631751,0.3235225841161,0.22712868671830028,0.24386452984543366
74,0.2320293135036103,0.2179114128677659,0.31522793404461685,0.2348313395840069,0.22344034020013664,0.24061828680708397,0.20951168016519398,0.22631114557033785,0.3057746464743511,0.3246812216148826,0.22620643859101344,0.24345624057700035
75,0.23849090500785988,0.21693240512014372,0.30833146193577365,0.23624522793622277,0.22964015235856028,0.24734165765715949,0.20837250716458822,0.22549230307569923,0.29874044456952104,0.3179224793020263,0.2274232648471446,0.24506719102530095
76,0.23295177788602045,0.21395518753044326,0.3105211885046274,0.24257184607890891,0.22380921472847495,0.24209434104356595,0.20508549257314376,0.22282488248774276,0.3005135939369043,0.3205287830723505,0.23330110313304017,0.25184258902477763
77,0.24202057504616195,0.21814824584542336,0.3059878659984173,0.23384331310999737,0.23237981988085057,0.2516613302114733,0.20885228531730013,0.2274442063735466,0.29561516557268736,0.3163605664241473,0.22431584558943587,0.24337078063055886
78,0.23128019323671498,0.22569444444444445,0.3038949275362319,0.2391304347826087,0.22112609909664435,0.2414342873767856,0.21562734053653046,0.23576154835235844,0.2928188227973374,0.31497103227512635,0.22885830584256348,0.24940256372265393
