quantile,outcome,fit metric
0.76,sys,0.10884281230170578
0.77,sys,0.10867942030982569
0.78,sys,0.10902941274351086
0.79,sys,0.11056069307195682
0.8,sys,0.11142525906479972
0.81,sys,0.11123621672006012
0.82,sys,0.1113034009007029
0.83,sys,0.11006325272539674
0.84,sys,0.10941500194364817
0.85,sys,0.10766985498759474
0.86,sys,0.10557309864660247
0.87,sys,0.10527215949625046
0.88,sys,0.10320505825821591
0.89,sys,0.1020973088695436
0.9,sys,0.10368991335297628
0.91,sys,0.10383113697202428
0.92,sys,0.10580009524280898
0.93,sys,0.10688967240286618
0.94,sys,0.10724776489866406
0.95,sys,0.10649836095496534
0.96,sys,0.10590454346661127
0.97,sys,0.10888748737914267
0.98,sys,0.1055967113143852
0.99,sys,0.09707136095061453
