quantiles,intercept,age_beta,female_beta,noplace_beta,poor_beta,education_L12_beta,singlefamily_beta,crowded_beta,rented_beta,notemployed_beta
0.71,87.99999999999818,-0.15999999999996345,-2.4799999999998983,1.4399999999996964,0.6399999999997829,-0.24000000000036045,-1.6800000000000905,-0.3199999999999493,0.4000000000003415,-0.4000000000003177
0.72,87.84615384615296,-0.15384615384613648,-2.307692307692256,1.384615384615226,0.46153846153905426,-0.23076923076982492,-1.6923076923080884,-0.23076923076857137,0.5384615384614897,-0.6153846153854285
0.73,88.20253164556968,-0.15189873417721592,-2.3291139240506316,1.5189873417721484,0.1265822784810245,-0.10126582278484655,-1.7974683544303809,-0.3037974683544753,0.5063291139240378,-0.6329113924050208
0.74,88.6153846153846,-0.1538461538461536,-2.30769230769229,1.5384615384615588,-0.15384615384612674,-0.15384615384611983,-1.6923076923076148,0.3076923076923077,0.6153846153846715,-0.46153846153858513
0.75,89.19999999999992,-0.15999999999999856,-2.399999999999983,1.4400000000000455,-0.2399999999999922,8.002167656768724e-14,-1.8399999999999517,0.7999999999999086,1.1199999999999488,-0.4800000000000647
0.76,88.71428571428581,-0.1428571428571445,-2.428571428571439,1.2857142857142982,-0.28571428571427054,1.0931924678922813e-14,-1.8571428571428497,0.857142857142848,1.1428571428571452,-0.5714285714285579
0.77,88.39344262296673,-0.13114754098385537,-2.491803278693245,1.5409836065640898,-0.06557377048435281,-0.13114754098385092,-1.3442622950807388,0.819672131130126,1.081967213113011,-0.3934426229515785
0.7799999999999999,89.06666666666658,-0.13333333333333297,-2.3999999999999573,2.000000000000002,-0.2000000000001285,-1.847752353617742e-15,-0.7333333333335689,0.3333333333334693,0.6666666666667227,-0.8000000000000209
0.7899999999999999,89.16129032258067,-0.12903225806451626,-2.5806451612903247,1.999999999999998,0.32258064516127644,-0.06451612903218802,-0.5161290322581072,8.583733716424346e-15,0.7741935483870361,-0.9677419354838884
0.8,89.38461538461539,-0.1282051282051279,-2.4102564102563955,2.153846153845774,0.30769230769229444,0.10256410256411208,-0.46153846153806216,-0.25641025641022624,0.8974358974358967,-0.6923076923076861
0.81,89.33333333333337,-0.12121212121212147,-2.3030303030303227,1.9999999999999858,0.48484848484847115,0.060606060606074666,-0.24242424242421654,-0.3030303030303134,0.666666666666664,-0.36363636363636
0.8200000000000001,89.99999999999999,-0.12499999999999986,-2.124999999999991,2.000000000000011,0.24999999999999953,0.6249999999999758,-0.12500000000001465,-0.3750000000000424,0.3750000000000403,-0.500000000000015
0.8300000000000001,91.85714285714282,-0.14285714285714204,-2.428571428571436,1.8571428571428703,0.14285714285714937,0.5714285714285372,0.2857142857142964,-0.4285714285714338,0.2857142857143113,-0.8571428571428604
0.8400000000000001,92.14285714285694,-0.14285714285713844,-2.4285714285714906,1.7142857142857428,-0.14285714285719409,0.8571428571428661,0.5714285714286362,-0.42857142857141345,0.42857142857151254,-0.714285714285613
0.8500000000000001,91.73913043478227,-0.1304347826086895,-2.3913043478261446,1.565217391304567,-0.13043478260851868,0.8695652173914424,0.6086956521737885,-0.5217391304346661,0.6956521739129161,-0.3043478260869269
0.8600000000000001,92.82758620689646,-0.13793103448275681,-2.7586206896551335,1.8620689655173095,0.06896551724132552,0.9655172413792921,0.551724137930987,-1.0344827586206875,0.7586206896552015,-0.4827586206896701
0.8700000000000001,93.42857142857133,-0.1428571428571422,-2.4285714285714533,2.00000000000003,0.14285714285714524,1.285714285714339,0.285714285714322,-0.28571428571430363,0.5714285714286556,-0.8571428571428951
0.88,93.85714285714275,-0.14285714285714018,-2.14285714285728,2.428571428571315,0.28571428571433655,0.8571428571428757,0.2857142857142604,-5.488131297972415e-14,0.2857142857142754,-1.1428571428570686
0.89,92.5555555555556,-0.11111111111111181,-2.2777777777777786,2.1111111111111067,0.6111111111111321,1.3888888888888886,0.4444444444444325,-0.7222222222222394,0.6111111111111083,-1.6666666666666865
