N,E,S1,S2,D
0.30347,0.19858,0.19156,0.09883,0.20756
0.30327,0.19838,0.19103,0.09867,0.20865
0.30341,0.19835,0.19014,0.0983,0.2098
0.30312,0.19812,0.18946,0.0985,0.2108
0.3031,0.19845,0.18841,0.09808,0.21196
0.30261,0.19851,0.18792,0.09765,0.21331
0.30231,0.19909,0.18702,0.0974,0.21418
0.3017,0.19868,0.18659,0.09767,0.21536
0.30143,0.19865,0.18578,0.0975,0.21664
0.30119,0.19839,0.18529,0.09735,0.21778
0.30098,0.19834,0.18439,0.09724,0.21905
0.30004,0.19821,0.18385,0.09712,0.22078
0.29991,0.1985,0.18288,0.0966,0.22211
0.29887,0.19843,0.18254,0.09676,0.2234
0.29843,0.19889,0.1815,0.09627,0.22491
0.29817,0.19884,0.18069,0.09611,0.22619
0.29775,0.19879,0.18027,0.09581,0.22738
0.29724,0.19869,0.17997,0.09558,0.22852
0.29649,0.19897,0.17908,0.09546,0.23
0.2959,0.19838,0.1789,0.0954,0.23142
0.2959,0.19835,0.17804,0.09489,0.23282
0.29546,0.19826,0.17727,0.09478,0.23423
0.29493,0.19853,0.17618,0.09466,0.2357
0.29431,0.19857,0.17569,0.09445,0.23698
0.29368,0.19871,0.17509,0.09412,0.2384
0.29301,0.19842,0.17469,0.09409,0.23979
0.29235,0.19839,0.17458,0.09357,0.24111
0.29168,0.19843,0.17392,0.09342,0.24255
0.29093,0.19862,0.17347,0.09311,0.24387
0.29038,0.19813,0.17326,0.0929,0.24533
0.28999,0.1978,0.17308,0.09248,0.24665
0.28941,0.1976,0.17243,0.09246,0.2481
0.28911,0.19777,0.17159,0.09188,0.24965
0.28864,0.19789,0.17095,0.09138,0.25114
0.28822,0.19819,0.17013,0.09094,0.25252
0.28771,0.19821,0.16968,0.09052,0.25388
0.28786,0.19826,0.16878,0.08995,0.25515
0.28733,0.198,0.16868,0.08933,0.25666
0.28713,0.19782,0.16838,0.08874,0.25793
0.28663,0.19774,0.16808,0.08827,0.25928
0.2861,0.1976,0.16748,0.0882,0.26062
0.2856,0.19722,0.16719,0.08789,0.2621
0.28518,0.19716,0.16649,0.08768,0.26349
0.28477,0.19722,0.16579,0.08747,0.26475
0.28409,0.19707,0.16523,0.08736,0.26625
0.28374,0.19712,0.1641,0.08725,0.26779
0.283,0.19714,0.16344,0.08725,0.26917
0.28238,0.19714,0.16284,0.08722,0.27042
0.28195,0.19702,0.1619,0.08688,0.27225
0.28144,0.19629,0.16151,0.08687,0.27389
0.28159,0.1959,0.16047,0.08679,0.27525
0.28105,0.19546,0.16,0.0867,0.27679
0.28066,0.19523,0.15927,0.08659,0.27825
0.27999,0.19477,0.15895,0.08654,0.27975
0.2796,0.19495,0.15807,0.08635,0.28103
0.27882,0.19426,0.15778,0.08645,0.28269
0.27874,0.19405,0.15719,0.08582,0.2842
0.2783,0.19374,0.15657,0.08554,0.28585
0.27788,0.19381,0.15549,0.08538,0.28744
0.27704,0.19379,0.15493,0.08542,0.28882
0.27666,0.19358,0.15427,0.0851,0.29039
0.276,0.19318,0.15394,0.08487,0.29201
0.2758,0.19274,0.15317,0.08463,0.29366
0.27521,0.19236,0.15292,0.08421,0.2953
0.27502,0.19221,0.15204,0.08377,0.29696
0.27429,0.19214,0.15152,0.08353,0.29852
0.27393,0.19153,0.151,0.08314,0.3004
0.27328,0.1912,0.15047,0.08312,0.30193
0.27333,0.19036,0.14984,0.08292,0.30355
0.27266,0.18991,0.14923,0.083,0.3052
0.27199,0.18948,0.14867,0.08286,0.307
0.27105,0.18902,0.14815,0.08278,0.309
0.27007,0.18935,0.14749,0.08237,0.31072
0.26946,0.18872,0.14711,0.08241,0.3123
0.26883,0.18833,0.14654,0.08238,0.31392
0.26801,0.18792,0.14612,0.08239,0.31556
0.26739,0.18773,0.14554,0.08216,0.31718
0.26679,0.18742,0.14516,0.08159,0.31904
0.26661,0.18747,0.14397,0.08133,0.32062
0.2656,0.1867,0.14405,0.08156,0.32209
0.26532,0.18667,0.143,0.08105,0.32396
0.26488,0.1863,0.14258,0.08058,0.32566
0.26451,0.18592,0.14238,0.07988,0.32731
0.26388,0.18549,0.14221,0.07929,0.32913
0.26314,0.18528,0.14194,0.0785,0.33114
0.26257,0.18496,0.14138,0.0783,0.33279
0.2621,0.18467,0.14085,0.07796,0.33442
0.26169,0.18456,0.13983,0.07757,0.33635
0.26126,0.18471,0.13913,0.07694,0.33796
0.26067,0.18434,0.13853,0.07684,0.33962
0.25986,0.18418,0.13796,0.07654,0.34146
0.2592,0.18429,0.13714,0.07628,0.34309
0.25876,0.18411,0.13609,0.07606,0.34498
0.25823,0.18375,0.13555,0.07582,0.34665
0.25757,0.1833,0.13545,0.07529,0.34839
0.25699,0.18273,0.13517,0.07479,0.35032
0.25646,0.18269,0.13457,0.07419,0.35209
0.25594,0.18237,0.13392,0.07388,0.35389
0.25558,0.1817,0.13324,0.07379,0.35569
0.2552,0.18102,0.13309,0.0735,0.35719
0.25441,0.18073,0.13248,0.07346,0.35892
0.25377,0.18028,0.13197,0.07339,0.36059
0.25345,0.17978,0.13159,0.07294,0.36224
0.25243,0.1795,0.1311,0.07289,0.36408
0.25186,0.17919,0.13071,0.07244,0.3658
0.25118,0.17847,0.1304,0.07249,0.36746
0.25118,0.17749,0.1298,0.07216,0.36937
0.25038,0.17685,0.12943,0.07212,0.37122
0.24976,0.17642,0.12878,0.07203,0.37301
0.24914,0.176,0.128,0.0719,0.37496
0.24854,0.17567,0.12758,0.07135,0.37686
0.24775,0.17522,0.12713,0.07131,0.37859
0.24738,0.17487,0.12621,0.07126,0.38028
0.24657,0.17399,0.12595,0.07107,0.38242
0.24593,0.1737,0.1254,0.07074,0.38423
0.24517,0.17277,0.12543,0.07052,0.38611
0.24445,0.17227,0.12496,0.07008,0.38824
0.24364,0.17189,0.12416,0.07005,0.39026
0.24312,0.17143,0.12344,0.06973,0.39228
0.24269,0.1706,0.12287,0.06957,0.39427
0.24201,0.1701,0.12253,0.06939,0.39597
0.24153,0.16934,0.12223,0.0691,0.3978
0.241,0.16919,0.12137,0.06874,0.3997
0.24033,0.1683,0.12086,0.06881,0.4017
0.23948,0.16772,0.12052,0.06866,0.40362
0.2386,0.16745,0.12012,0.06834,0.40549
0.23822,0.16661,0.1198,0.06777,0.4076
0.23771,0.16601,0.11904,0.0675,0.40974
0.23718,0.16546,0.11818,0.06708,0.4121
0.23661,0.16456,0.11808,0.06664,0.41411
0.23642,0.16407,0.11739,0.06611,0.41601
0.23562,0.16349,0.11684,0.0658,0.41825
0.2356,0.16291,0.11589,0.06528,0.42032
0.23493,0.16227,0.11531,0.06511,0.42238
0.23459,0.16174,0.11443,0.06473,0.42451
0.23423,0.16076,0.11408,0.06448,0.42645
0.23371,0.16028,0.11334,0.06395,0.42872
0.2333,0.15935,0.11312,0.06342,0.43081
0.23302,0.15878,0.11227,0.06309,0.43284
0.23236,0.15801,0.11206,0.06267,0.4349
0.23196,0.15704,0.1115,0.06229,0.43721
0.23131,0.15629,0.11102,0.06215,0.43923
0.23038,0.15602,0.10992,0.06196,0.44172
0.22995,0.15513,0.10911,0.06186,0.44395
0.22978,0.1543,0.10839,0.06144,0.44609
0.22901,0.15371,0.10781,0.06125,0.44822
0.22849,0.15334,0.10706,0.06086,0.45025
0.22779,0.15244,0.10694,0.06084,0.45199
0.22745,0.15166,0.10628,0.06063,0.45398
0.22664,0.15088,0.10601,0.06038,0.45609
0.22591,0.15022,0.10545,0.06017,0.45825
0.22525,0.14962,0.10487,0.05993,0.46033
0.22479,0.14901,0.10432,0.05939,0.46249
0.22389,0.14843,0.10379,0.05918,0.46471
0.22338,0.14775,0.10304,0.05883,0.467
0.2227,0.14684,0.10281,0.05846,0.46919
0.2219,0.14651,0.10205,0.05834,0.4712
0.22129,0.14614,0.1013,0.05817,0.4731
0.22066,0.1454,0.10069,0.05795,0.4753
0.21996,0.14461,0.10016,0.05777,0.4775
0.21906,0.1439,0.0998,0.05772,0.47952
0.218,0.14362,0.0995,0.05749,0.48139
0.21727,0.14324,0.09879,0.05719,0.48351
0.21655,0.14225,0.09844,0.05713,0.48563
0.21621,0.14198,0.09752,0.05662,0.48767
0.21559,0.14094,0.0971,0.05642,0.48995
0.21479,0.14027,0.0963,0.05621,0.49243
0.214,0.13938,0.09591,0.05578,0.49493
0.21305,0.13862,0.0954,0.05579,0.49714
0.21205,0.13814,0.09488,0.05557,0.49936
0.21126,0.13737,0.09422,0.05526,0.50189
0.21061,0.13662,0.09379,0.05494,0.50404
0.20964,0.1363,0.09309,0.05486,0.50611
0.2087,0.13552,0.09254,0.05499,0.50825
0.20815,0.13476,0.09197,0.05462,0.5105
0.20723,0.13414,0.09139,0.05473,0.51251
0.2064,0.1336,0.0912,0.05414,0.51466
0.20565,0.1331,0.09073,0.05376,0.51676
0.20516,0.13259,0.09028,0.05295,0.51902
0.2044,0.13159,0.08987,0.05274,0.5214
0.2041,0.13124,0.0891,0.05215,0.52341
0.20355,0.13098,0.08844,0.05149,0.52554
0.20265,0.1306,0.08781,0.0511,0.52784
0.2019,0.13034,0.08701,0.05069,0.53006
0.20118,0.12978,0.08639,0.05037,0.53228
0.20066,0.12902,0.08597,0.05008,0.53427
0.19999,0.12831,0.08543,0.04973,0.53654
0.1992,0.12757,0.08516,0.04941,0.53866
0.19877,0.12692,0.08465,0.04895,0.54071
0.19815,0.12617,0.08407,0.04855,0.54306
0.19736,0.12554,0.08336,0.04843,0.54531
0.19677,0.12486,0.08273,0.04819,0.54745
0.19601,0.12427,0.08208,0.04799,0.54965
0.19536,0.12331,0.08169,0.04778,0.55186
0.19478,0.12295,0.08072,0.04753,0.55402
0.19397,0.12211,0.08037,0.0472,0.55635
0.19304,0.12138,0.07991,0.04704,0.55863
0.19244,0.1206,0.07948,0.04676,0.56072
0.19197,0.1198,0.07881,0.0465,0.56292
0.19111,0.11894,0.07826,0.04652,0.56517
0.19057,0.11829,0.0775,0.0463,0.56734
0.18984,0.11737,0.07702,0.04594,0.56983
0.18902,0.11699,0.07638,0.04554,0.57207
0.18828,0.11647,0.07578,0.04509,0.57438
0.18729,0.11604,0.075,0.04494,0.57673
0.18639,0.1153,0.07438,0.04479,0.57914
0.18563,0.11466,0.07414,0.04432,0.58125
0.18466,0.11422,0.0735,0.044,0.58362
0.18378,0.11349,0.07306,0.04368,0.58599
0.18293,0.1127,0.07243,0.04367,0.58827
0.18216,0.11233,0.07174,0.04338,0.59039
0.18096,0.11153,0.07155,0.0433,0.59266
0.18023,0.11101,0.07109,0.04286,0.59481
0.17901,0.11024,0.07048,0.04266,0.59761
0.17847,0.109,0.07031,0.04226,0.59996
0.17763,0.10842,0.06959,0.04202,0.60234
0.17693,0.10774,0.06904,0.04154,0.60475
0.17616,0.10691,0.06846,0.04138,0.60709
0.17519,0.10621,0.06808,0.041,0.60952
0.174,0.10561,0.06756,0.04081,0.61202
0.17316,0.10501,0.06686,0.04057,0.6144
0.17246,0.10402,0.06673,0.04015,0.61664
0.1717,0.10363,0.06606,0.03985,0.61876
0.17065,0.10284,0.06588,0.03964,0.62099
0.17007,0.1026,0.06506,0.03907,0.6232
0.16963,0.10178,0.06429,0.03875,0.62555
0.16909,0.10105,0.06352,0.03842,0.62792
0.16819,0.10032,0.06291,0.03829,0.63029
0.16751,0.09959,0.06228,0.03791,0.63271
0.16657,0.09885,0.0617,0.03761,0.63527
0.16611,0.09805,0.06126,0.03709,0.63749
0.16498,0.09756,0.06099,0.03677,0.6397
0.16457,0.097,0.06039,0.03639,0.64165
0.16374,0.09633,0.05973,0.036,0.6442
0.16326,0.09572,0.05902,0.03561,0.64639
0.16256,0.09488,0.05867,0.03528,0.64861
0.162,0.09416,0.05811,0.03493,0.6508
0.16101,0.09332,0.05772,0.03472,0.65323
0.16022,0.09283,0.05701,0.0345,0.65544
0.15927,0.09203,0.05636,0.03437,0.65797
0.15835,0.09176,0.05558,0.03391,0.6604
0.15715,0.09122,0.05508,0.03379,0.66276
0.15631,0.09039,0.05449,0.03374,0.66507
0.15541,0.08971,0.05387,0.03364,0.66737
0.15439,0.08895,0.05343,0.0335,0.66973
0.15343,0.08811,0.05316,0.03316,0.67214
0.15253,0.08716,0.05284,0.03291,0.67456
0.15174,0.08631,0.05241,0.03259,0.67695
0.15083,0.08554,0.05195,0.03218,0.6795
0.15022,0.08473,0.05151,0.03211,0.68143
0.14913,0.08423,0.05107,0.03164,0.68393
0.14813,0.08349,0.05054,0.03123,0.68661
0.14702,0.08298,0.04996,0.0309,0.68914
0.1461,0.08198,0.0496,0.03094,0.69138
