N,E,S1,S2,D
0.21044,0.13047,0.08273,0.04679,0.52957
0.20967,0.1298,0.08214,0.04657,0.53182
0.2089,0.12897,0.08194,0.04629,0.5339
0.20838,0.12827,0.08154,0.04589,0.53592
0.20772,0.12754,0.08101,0.04548,0.53825
0.20699,0.12683,0.0803,0.04538,0.5405
0.20643,0.12606,0.07969,0.04517,0.54265
0.20562,0.12545,0.07912,0.04497,0.54484
0.20488,0.12453,0.07875,0.04475,0.54709
0.2042,0.12423,0.07782,0.04449,0.54926
0.20339,0.12326,0.07755,0.04417,0.55163
0.20247,0.12244,0.07712,0.04402,0.55395
0.20191,0.1215,0.0767,0.04382,0.55607
0.20127,0.12089,0.07593,0.04363,0.55828
0.20032,0.12005,0.07539,0.04367,0.56057
0.19973,0.11943,0.07462,0.04348,0.56274
0.19896,0.11853,0.07415,0.04317,0.56519
0.19817,0.11804,0.07353,0.04282,0.56744
0.19733,0.11768,0.07286,0.04241,0.56972
0.19637,0.11722,0.07214,0.04225,0.57202
0.19542,0.11651,0.07154,0.04213,0.5744
0.19464,0.11582,0.07134,0.04168,0.57652
0.19369,0.11533,0.07066,0.04147,0.57885
0.19269,0.11469,0.07027,0.04116,0.58119
0.1918,0.11384,0.0698,0.0411,0.58346
0.19107,0.11333,0.06919,0.04088,0.58553
0.18989,0.11252,0.06888,0.04089,0.58782
0.18922,0.11194,0.06837,0.04049,0.58998
0.18786,0.11117,0.06787,0.04029,0.59281
0.18724,0.10996,0.06774,0.03992,0.59514
0.18627,0.10959,0.06702,0.03962,0.5975
0.18545,0.10895,0.06649,0.03921,0.5999
0.18459,0.10819,0.06585,0.03913,0.60224
0.18363,0.10743,0.06547,0.03877,0.6047
0.18245,0.10667,0.06513,0.03856,0.60719
0.18153,0.10612,0.06449,0.0383,0.60956
0.18078,0.10522,0.06433,0.03787,0.6118
0.18001,0.10477,0.06375,0.03753,0.61394
0.17886,0.10401,0.06366,0.03733,0.61614
0.17816,0.1039,0.06285,0.03676,0.61833
0.17769,0.10315,0.062,0.03649,0.62067
0.17709,0.10239,0.06135,0.03614,0.62303
0.17621,0.10157,0.06081,0.036,0.62541
0.17538,0.10088,0.06025,0.03566,0.62783
0.1744,0.10015,0.05972,0.03536,0.63037
0.17399,0.09933,0.05918,0.03493,0.63257
0.17282,0.0988,0.05884,0.03469,0.63485
0.17238,0.09825,0.05814,0.03442,0.63681
0.17143,0.09751,0.05758,0.03411,0.63937
0.17077,0.09703,0.05691,0.03373,0.64156
0.17002,0.09617,0.05665,0.03339,0.64377
0.16942,0.09543,0.05614,0.03309,0.64592
0.16832,0.09467,0.05576,0.0329,0.64835
0.16745,0.09422,0.05501,0.03277,0.65055
0.16636,0.09342,0.05446,0.03262,0.65314
0.16546,0.09303,0.05374,0.03218,0.65559
0.16423,0.09255,0.05317,0.0321,0.65795
0.16336,0.09168,0.05267,0.03202,0.66027
0.16244,0.09092,0.05204,0.03193,0.66267
0.16139,0.0901,0.05163,0.0318,0.66508
0.16035,0.08926,0.05141,0.03152,0.66746
0.15938,0.0884,0.05113,0.03124,0.66985
0.15848,0.08755,0.05073,0.031,0.67224
0.15748,0.08678,0.05028,0.03066,0.6748
0.15682,0.08594,0.04997,0.03052,0.67675
0.15573,0.08541,0.04961,0.03002,0.67923
0.15472,0.08464,0.04917,0.02961,0.68186
0.15362,0.08403,0.04874,0.02924,0.68437
