N,E,S1,S2,D
0.27494,0.18205,0.12676,0.06744,0.34881
0.27445,0.18151,0.12596,0.06753,0.35055
0.27391,0.18085,0.12593,0.06732,0.35199
0.27319,0.1807,0.12518,0.06726,0.35367
0.27252,0.18023,0.12477,0.06713,0.35535
0.27226,0.17951,0.12477,0.06652,0.35694
0.27125,0.17914,0.1246,0.06632,0.35869
0.27072,0.17872,0.1241,0.066,0.36046
0.26993,0.17798,0.12397,0.06601,0.36211
0.27004,0.17697,0.12331,0.0657,0.36398
0.26917,0.17639,0.12311,0.06556,0.36577
0.26859,0.1759,0.12266,0.06529,0.36756
0.268,0.17544,0.12204,0.06508,0.36944
0.26735,0.17533,0.12134,0.0647,0.37128
0.26641,0.17502,0.12096,0.06459,0.37302
0.26598,0.17455,0.12016,0.06462,0.37469
0.26515,0.17373,0.11999,0.06432,0.37681
0.26445,0.17339,0.11947,0.06411,0.37858
0.26373,0.17242,0.11935,0.06411,0.38039
0.2629,0.17195,0.11904,0.06359,0.38252
0.26202,0.17143,0.11835,0.06362,0.38458
0.26146,0.171,0.1178,0.06319,0.38655
0.26112,0.17012,0.11724,0.06301,0.38851
0.26042,0.16952,0.11717,0.06267,0.39022
0.25984,0.16879,0.11686,0.06246,0.39205
0.25926,0.16849,0.11628,0.06202,0.39395
0.25853,0.16752,0.11588,0.06212,0.39595
0.25771,0.16691,0.11555,0.06192,0.39791
0.25675,0.16676,0.1152,0.06153,0.39976
0.2562,0.1662,0.11456,0.06115,0.40189
0.25554,0.16558,0.11392,0.06097,0.40399
0.25493,0.16511,0.11302,0.06063,0.40631
0.25428,0.16448,0.11284,0.06014,0.40826
0.25405,0.16404,0.11209,0.05969,0.41013
0.2531,0.16349,0.11161,0.0595,0.4123
0.253,0.16278,0.11098,0.05894,0.4143
0.25226,0.16211,0.11056,0.05873,0.41634
0.25194,0.16174,0.10948,0.05839,0.41845
0.25143,0.16077,0.1093,0.05813,0.42037
0.25094,0.16014,0.10853,0.05774,0.42265
0.25045,0.15937,0.1081,0.05739,0.42469
0.25006,0.15915,0.10696,0.05715,0.42668
0.24936,0.15852,0.10649,0.05682,0.42881
0.24879,0.15785,0.10574,0.05651,0.43111
0.24819,0.15704,0.10535,0.05641,0.43301
0.24726,0.15658,0.10438,0.05631,0.43547
0.2467,0.15591,0.10351,0.05618,0.4377
0.24636,0.15517,0.10282,0.05581,0.43984
0.24559,0.15459,0.10211,0.05578,0.44193
0.24523,0.15417,0.10115,0.05553,0.44392
0.24438,0.15348,0.10095,0.05548,0.44571
0.24386,0.15287,0.10004,0.05547,0.44776
0.24302,0.15214,0.09962,0.0554,0.44982
0.24234,0.15154,0.09901,0.05516,0.45195
0.24156,0.15094,0.09858,0.05491,0.45401
0.241,0.15035,0.09801,0.05451,0.45613
0.23998,0.14978,0.09751,0.05437,0.45836
0.23933,0.14912,0.09687,0.05404,0.46064
0.2386,0.14811,0.09671,0.05378,0.4628
0.23779,0.14764,0.09611,0.05367,0.46479
0.23712,0.147,0.09568,0.0535,0.4667
0.23652,0.1462,0.09506,0.05329,0.46893
0.23585,0.14527,0.09469,0.0531,0.47109
0.23485,0.14481,0.09427,0.05298,0.47309
0.23371,0.14469,0.09378,0.05283,0.47499
0.23302,0.14428,0.09306,0.05256,0.47708
0.23232,0.14342,0.09261,0.05249,0.47916
0.23192,0.14314,0.09179,0.05198,0.48117
0.23134,0.14189,0.09158,0.05181,0.48338
0.2305,0.14129,0.09072,0.05169,0.4858
0.2295,0.14056,0.09031,0.05137,0.48826
0.22856,0.13966,0.08997,0.05137,0.49044
0.22747,0.13909,0.08959,0.05125,0.4926
0.22659,0.13836,0.08906,0.05088,0.49511
0.22581,0.13766,0.0886,0.05067,0.49726
0.2249,0.13727,0.08802,0.05048,0.49933
0.22389,0.13639,0.0877,0.05056,0.50146
0.22326,0.13551,0.0873,0.05024,0.50369
0.22234,0.13489,0.08675,0.05035,0.50567
