N,E,S1,S2,D
0.36406,0.20908,0.21332,0.08065,0.13289
0.36449,0.20814,0.21365,0.07999,0.13373
0.36412,0.20772,0.21363,0.07974,0.13479
0.36201,0.20998,0.21185,0.08058,0.13558
0.36132,0.20837,0.21313,0.08064,0.13654
0.36134,0.20856,0.21238,0.08024,0.13748
0.36214,0.2089,0.20997,0.08054,0.13845
0.36218,0.20857,0.20922,0.08069,0.13934
0.36076,0.20905,0.209,0.08078,0.14041
0.36115,0.20887,0.20837,0.08042,0.14119
0.36131,0.2087,0.20731,0.08057,0.14211
0.36106,0.21132,0.20444,0.08031,0.14287
0.3608,0.21081,0.20436,0.08017,0.14386
0.36098,0.2102,0.20418,0.07976,0.14488
0.36065,0.20983,0.20399,0.07974,0.14579
0.35976,0.21143,0.20353,0.07864,0.14664
0.35937,0.21077,0.20376,0.07839,0.14771
0.35982,0.21182,0.2,0.07951,0.14885
0.35949,0.21153,0.1987,0.08043,0.14985
0.35985,0.21159,0.19739,0.08028,0.15089
0.35971,0.21108,0.1975,0.07957,0.15214
0.36037,0.21141,0.19533,0.07975,0.15314
0.35894,0.21204,0.19518,0.07944,0.1544
0.35649,0.2144,0.19391,0.0798,0.1554
0.35704,0.21474,0.19178,0.07999,0.15645
0.35695,0.21292,0.19274,0.07989,0.1575
0.35672,0.21264,0.19233,0.07984,0.15847
0.3564,0.21223,0.19212,0.07979,0.15946
0.35659,0.21133,0.19203,0.07952,0.16053
0.35659,0.21113,0.19173,0.07898,0.16157
0.35629,0.20908,0.19264,0.07921,0.16278
0.35606,0.20892,0.1896,0.08149,0.16393
0.35551,0.20782,0.1902,0.08149,0.16498
0.35409,0.20863,0.18972,0.08137,0.16619
0.35333,0.2083,0.18964,0.08147,0.16726
0.35365,0.20907,0.18754,0.08148,0.16826
0.35311,0.20726,0.1884,0.08176,0.16947
0.35346,0.20774,0.18706,0.08136,0.17038
0.35303,0.20754,0.18906,0.07913,0.17124
0.35308,0.20728,0.18885,0.07857,0.17222
0.35304,0.20496,0.19035,0.07853,0.17312
0.35391,0.20646,0.18684,0.07848,0.17431
0.35355,0.206,0.18647,0.07847,0.17551
0.35325,0.20625,0.18593,0.07795,0.17662
0.35026,0.2087,0.18523,0.07779,0.17802
0.35066,0.20912,0.18259,0.07826,0.17937
0.35032,0.20892,0.1822,0.07816,0.1804
0.34992,0.20933,0.1817,0.0776,0.18145
0.34987,0.20963,0.18042,0.07743,0.18265
0.34881,0.21082,0.17978,0.07698,0.18361
0.34511,0.21399,0.17927,0.07693,0.1847
0.34465,0.214,0.17889,0.07652,0.18594
0.34418,0.21343,0.1787,0.07665,0.18704
0.34072,0.21684,0.17776,0.07633,0.18835
0.3402,0.21647,0.17779,0.07612,0.18942
0.34001,0.21598,0.17771,0.07576,0.19054
0.34022,0.21395,0.17842,0.07556,0.19185
0.34147,0.21447,0.1759,0.07513,0.19303
0.33918,0.21598,0.17545,0.07535,0.19404
0.33972,0.21623,0.17412,0.07481,0.19512
0.33848,0.21657,0.17402,0.07486,0.19607
0.33612,0.2172,0.17492,0.07461,0.19715
0.33568,0.2161,0.17561,0.07419,0.19842
0.33334,0.21836,0.17505,0.07387,0.19938
0.33273,0.21791,0.17531,0.07346,0.20059
0.33243,0.21741,0.17492,0.07331,0.20193
0.33175,0.21587,0.175,0.07423,0.20315
0.33164,0.21603,0.17413,0.07387,0.20433
0.33066,0.21624,0.17344,0.07377,0.20589
0.3312,0.21699,0.17097,0.07372,0.20712
0.33076,0.21658,0.1705,0.07377,0.20839
0.33056,0.21458,0.17143,0.07355,0.20988
0.32877,0.21411,0.17238,0.07364,0.2111
0.32878,0.2138,0.17165,0.07355,0.21222
0.32845,0.21343,0.17139,0.07333,0.2134
0.32819,0.21311,0.17071,0.07314,0.21485
0.32759,0.21262,0.17072,0.07281,0.21626
0.32737,0.21227,0.17019,0.07256,0.21761
0.32735,0.21135,0.16683,0.07544,0.21903
0.32704,0.21164,0.16561,0.07526,0.22045
0.32649,0.21104,0.16513,0.07563,0.22171
0.32601,0.21068,0.16506,0.07516,0.22309
0.32548,0.21009,0.16487,0.07504,0.22452
0.32531,0.21027,0.16398,0.07457,0.22587
0.32457,0.21011,0.16362,0.07439,0.22731
0.3243,0.21007,0.16285,0.07416,0.22862
0.32397,0.20932,0.16268,0.07408,0.22995
0.32416,0.20919,0.16158,0.07391,0.23116
0.32406,0.20934,0.16022,0.0738,0.23258
0.32426,0.20972,0.15883,0.07313,0.23406
0.32299,0.20734,0.16138,0.0728,0.23549
0.32126,0.20867,0.16098,0.07223,0.23686
0.32123,0.2089,0.15864,0.07295,0.23828
0.32126,0.20901,0.15777,0.0724,0.23956
0.32121,0.2097,0.15577,0.07231,0.24101
0.32109,0.21006,0.15478,0.07184,0.24223
0.32068,0.20961,0.15466,0.0715,0.24355
0.32001,0.2093,0.15449,0.07123,0.24497
0.31959,0.20893,0.15391,0.07121,0.24636
0.31928,0.20864,0.15366,0.07068,0.24774
0.31896,0.20808,0.15369,0.07019,0.24908
0.31863,0.20809,0.1529,0.06976,0.25062
0.31813,0.20815,0.15176,0.06986,0.2521
0.31834,0.2077,0.15062,0.06978,0.25356
0.31849,0.20805,0.1488,0.06978,0.25488
0.31839,0.20638,0.14931,0.06926,0.25666
