,age,cumulative_incidence,group
312,65.91666666666666,0.8611453613319802,Overall
313,66.0,0.8616170944343007,Overall
314,66.08333333333333,0.862243154527769,Overall
315,66.16666666666666,0.8632247666649768,Overall
316,66.25,0.8637340172523357,Overall
317,66.33333333333333,0.8642082333050507,Overall
318,66.41666666666666,0.8646238254556561,Overall
319,66.5,0.8651590031640366,Overall
320,66.58333333333333,0.8663019252632995,Overall
321,66.66666666666666,0.8673630210945433,Overall
322,66.75,0.8677447445701234,Overall
323,66.83333333333333,0.8681508385541037,Overall
324,66.91666666666666,0.8686887544439557,Overall
325,67.0,0.8690601301042272,Overall
326,67.08333333333333,0.8696360063874411,Overall
327,67.16666666666666,0.8700925386662428,Overall
328,67.25,0.8705735883286527,Overall
329,67.33333333333333,0.870946956908758,Overall
330,67.41666666666666,0.8715737790870454,Overall
331,67.5,0.8721533088984416,Overall
332,67.58333333333333,0.8724556327044894,Overall
333,67.66666666666666,0.8728553443968685,Overall
334,67.75,0.8734010296140493,Overall
335,67.83333333333333,0.87387445562278,Overall
336,67.91666666666666,0.8743362758854833,Overall
337,68.0,0.8747986327325352,Overall
338,68.08333333333333,0.8749691570191143,Overall
339,68.16666666666666,0.8756400542253532,Overall
340,68.25,0.8758478709046189,Overall
341,68.33333333333333,0.8761171017414939,Overall
342,68.41666666666666,0.8763009406288979,Overall
343,68.5,0.8765220072560502,Overall
344,68.58333333333333,0.8767186869856572,Overall
345,68.66666666666666,0.8769648803216819,Overall
346,68.75,0.8771867873511617,Overall
347,68.83333333333333,0.8773349782563189,Overall
348,68.91666666666666,0.877470997937688,Overall
349,69.0,0.8776320084528815,Overall
350,69.08333333333333,0.8780907334465231,Overall
351,69.16666666666666,0.8785378789988333,Overall
352,69.25,0.8787990343731575,Overall
353,69.33333333333333,0.8794092108157461,Overall
354,69.41666666666666,0.8797335137241854,Overall
355,69.5,0.8802211312483308,Overall
356,69.58333333333333,0.8807598855743058,Overall
357,69.66666666666666,0.8810609336225087,Overall
358,69.75,0.8815510671378004,Overall
359,69.83333333333333,0.8819662359943541,Overall
360,69.91666666666666,0.8822686927887312,Overall
361,70.0,0.8826471689156427,Overall
362,70.08333333333333,0.8831022698441182,Overall
363,70.16666666666666,0.8837359305669926,Overall
364,70.25,0.8840405193309258,Overall
365,70.33333333333333,0.8844348527996337,Overall
366,70.41666666666666,0.8849059755901156,Overall
367,70.5,0.8853141104284485,Overall
368,70.58333333333333,0.8857101517091346,Overall
369,70.66666666666666,0.8861452978280472,Overall
370,70.75,0.886594150562449,Overall
371,70.83333333333333,0.8869664360088706,Overall
372,70.91666666666666,0.887287992574617,Overall
373,71.0,0.8875585941701277,Overall
374,71.08333333333333,0.8879844108320953,Overall
375,71.16666666666666,0.8884368684917465,Overall
376,71.25,0.8887474850991941,Overall
377,71.33333333333333,0.8891882431400502,Overall
378,71.41666666666666,0.8897074501535677,Overall
379,71.5,0.8900716236672115,Overall
380,71.58333333333333,0.8904755804792454,Overall
381,71.66666666666666,0.8907762562549647,Overall
382,71.75,0.8911165171389057,Overall
383,71.83333333333333,0.8915230434509247,Overall
384,71.91666666666666,0.8918385745328757,Overall
385,72.0,0.8921810242481881,Overall
386,72.08333333333333,0.8922998548606993,Overall
387,72.16666666666666,0.8924189336452515,Overall
388,72.25,0.8925382766253073,Overall
389,72.33333333333333,0.8926975971936908,Overall
390,72.41666666666666,0.8928172949657851,Overall
391,72.5,0.8929773288665454,Overall
392,72.58333333333333,0.8931243931241929,Overall
393,72.66666666666666,0.8933387069116365,Overall
394,72.75,0.8934729058209073,Overall
395,72.83333333333333,0.8936610924857032,Overall
396,72.91666666666666,0.8937419585750677,Overall
397,73.0,0.8938499992882603,Overall
398,73.08333333333333,0.8942290097473177,Overall
399,73.16666666666666,0.8947444364759151,Overall
400,73.25,0.8951525619645698,Overall
401,73.33333333333333,0.8954660275923892,Overall
402,73.41666666666666,0.8958213993605115,Overall
403,73.5,0.896136552302075,Overall
404,73.58333333333333,0.8964108878744415,Overall
405,73.66666666666666,0.8966721986989749,Overall
406,73.75,0.8970163035387944,Overall
407,73.83333333333333,0.8973747474622202,Overall
408,73.91666666666666,0.8977891159112288,Overall
409,74.0,0.898176278350959,Overall
410,74.08333333333333,0.898564548023596,Overall
411,74.16666666666666,0.8993562529068844,Overall
412,74.25,0.8995370667145421,Overall
413,74.33333333333333,0.8998997991496793,Overall
414,74.41666666666666,0.9003334967354737,Overall
415,74.5,0.900641671446903,Overall
416,74.58333333333333,0.9011334052562013,Overall
417,74.66666666666666,0.9013868010564845,Overall
418,74.75,0.9016124282812944,Overall
419,74.83333333333333,0.9019797042130512,Overall
420,74.91666666666666,0.9022771646482428,Overall
421,75.0,0.9025326120830863,Overall
422,75.08333333333333,0.9029024533098581,Overall
423,75.16666666666666,0.9032305337526191,Overall
424,75.25,0.9034594046262271,Overall
425,75.33333333333333,0.903789237319869,Overall
426,75.41666666666666,0.9041200067580818,Overall
427,75.5,0.9044081942941261,Overall
428,75.58333333333333,0.9047690815098686,Overall
429,75.66666666666666,0.9051307362208291,Overall
430,75.75,0.9054500147588651,Overall
431,75.83333333333333,0.9057117649487054,Overall
432,75.91666666666666,0.9060910183693944,Overall
433,76.0,0.90644213467398,Overall
434,76.08333333333333,0.906618050434543,Overall
435,76.16666666666666,0.9067798909017275,Overall
436,76.25,0.9068685453088586,Overall
437,76.33333333333333,0.9069721892171,Overall
438,76.41666666666666,0.9071502896844572,Overall
439,76.5,0.9072844009656063,Overall
440,76.58333333333333,0.9072993502721257,Overall
441,76.66666666666666,0.9074191185534279,Overall
442,76.75,0.9074491334282688,Overall
443,76.83333333333333,0.907584595747206,Overall
444,76.91666666666666,0.9077504579509554,Overall
445,77.0,0.9079168641435661,Overall
446,77.08333333333333,0.9081748426059194,Overall
447,77.16666666666666,0.9085098042147188,Overall
448,77.25,0.9088000552950195,Overall
449,77.33333333333333,0.9090914289202751,Overall
450,77.41666666666666,0.9093066699138681,Overall
451,77.5,0.9100777405658502,Overall
452,77.58333333333333,0.9103411241651576,Overall
453,77.66666666666666,0.9105895297085962,Overall
454,77.75,0.9107605758256753,Overall
455,77.83333333333333,0.9109476932623504,Overall
456,77.91666666666666,0.9113384106488792,Overall
457,78.0,0.9115581419731695,Overall
458,78.08333333333333,0.9117785382017874,Overall
459,78.16666666666666,0.9122362166261432,Overall
460,78.25,0.9124420862010008,Overall
461,78.33333333333333,0.9127599007701441,Overall
462,78.41666666666666,0.9129990020835824,Overall
463,78.5,0.9133029217306521,Overall
464,78.58333333333333,0.9135435241680323,Overall
465,78.66666666666666,0.913833268454939,Overall
466,78.75,0.9141888617946485,Overall
467,78.83333333333333,0.9143347164204934,Overall
468,78.91666666666666,0.9146271448491736,Overall
469,79.0,0.9149689618097394,Overall
470,79.08333333333333,0.9153285701988563,Overall
471,79.16666666666666,0.9155743270577992,Overall
472,79.25,0.9157713914568084,Overall
473,79.33333333333333,0.9161504284351871,Overall
474,79.41666666666666,0.9165136995211316,Overall
475,79.5,0.9167791567563587,Overall
476,79.58333333333333,0.9170122683620832,Overall
477,79.66666666666666,0.9173799884217074,Overall
478,79.75,0.9176814601850176,Overall
479,79.83333333333333,0.9178832625298143,Overall
480,79.91666666666666,0.9181706795644022,Overall
481,80.0,0.9183914268492461,Overall
482,80.08333333333333,0.918493629195083,Overall
483,80.16666666666666,0.9185790298350714,Overall
484,80.25,0.9186819857509808,Overall
485,80.33333333333333,0.9187853342122165,Overall
486,80.41666666666666,0.9188372064705438,Overall
487,80.5,0.9189067249232457,Overall
488,80.58333333333333,0.9189764076515607,Overall
489,80.66666666666666,0.9189938884697588,Overall
490,80.75,0.9190639326647698,Overall
491,80.83333333333333,0.9194681736091153,Overall
492,80.91666666666666,0.9195210854529989,Overall
493,81.0,0.9196274452519597,Overall
494,81.08333333333333,0.919841107338131,Overall
495,81.16666666666666,0.9202339555534487,Overall
496,81.25,0.9204849613125521,Overall
497,81.33333333333333,0.9207367619326887,Overall
498,81.41666666666666,0.920917439475582,Overall
499,81.5,0.9210988631060578,Overall
500,81.58333333333333,0.9213358034570907,Overall
501,81.66666666666666,0.9215004494498549,Overall
502,81.75,0.9217024838569797,Overall
503,81.83333333333333,0.9217947288100229,Overall
504,81.91666666666666,0.921943196339572,Overall
505,82.0,0.9221482655634232,Overall
506,82.08333333333333,0.9224477673068675,Overall
507,82.16666666666666,0.9226358183075783,Overall
508,82.25,0.9227680647720098,Overall
509,82.33333333333333,0.923014569843938,Overall
510,82.41666666666666,0.923262050207941,Overall
511,82.5,0.9234914611191282,Overall
512,82.58333333333333,0.9236450541708339,Overall
513,82.66666666666666,0.9238955878143924,Overall
514,82.75,0.9239728904169171,Overall
515,82.83333333333333,0.9242444158082853,Overall
516,82.91666666666666,0.9244192812244755,Overall
517,83.0,0.924594597324728,Overall
518,83.08333333333333,0.9248686564206402,Overall
519,83.16666666666666,0.9250651295994565,Overall
520,83.25,0.925242513564108,Overall
521,83.33333333333333,0.9254602345995316,Overall
